customer_id,first_name,last_name,email,address,phone
1,Brad,Lawrence,walkermanuel@example.com,"602 Gray Coves Suite 849, New Douglas, MS 73417",(596)582-9659
2,Tina,Wyatt,acaldwell@example.com,"0609 Gonzales Trace Apt. 789, West Aaronport, MI 48409",(694)807-2206x420
3,John,Elliott,bowentara@example.org,"293 Autumn Fall, North Erikmouth, ND 24049",872-588-6296
4,Linda,Taylor,romanbrian@example.org,"1094 Michael Island, Fosterside, MO 24586",(355)863-6907x8616
5,Albert,Nelson,smithdanielle@example.org,"730 Austin Trace, Kathleenburgh, VA 31541",(600)280-6344x9872
6,Timothy,Harris,andersonchristine@example.net,"8874 Flores Falls, West Brittanyborough, IN 26060",620.525.4235x598
7,William,Carney,thomas32@example.org,"398 Travis Lights Suite 450, Bennettville, KY 43935",+1-664-727-1529x55451
8,Jason,Jones,sotoamanda@example.com,"383 Elizabeth Point, Williamsshire, KY 23325",549.560.9858x81551
9,Isabella,Thomas,upalmer@example.net,"23642 Thomas Pass Suite 273, West Michael, NH 98622",846-694-5466
10,Olivia,Myers,thomassmith@example.net,"8416 Jessica Brook Apt. 822, South Nicole, DC 20156",(312)753-2346
11,Christine,Phillips,toni18@example.net,"0767 Hale Rest Apt. 863, Teresaberg, ME 06565",8526451148
12,Michelle,Riley,jonesryan@example.com,"770 Susan Court Apt. 855, Shanemouth, OH 63717",+1-823-608-4807x41267
13,Amy,Chavez,lauren59@example.com,"072 Laura Crossing, East Kelseyhaven, SC 84807",(334)366-7361x46147
14,Adam,Contreras,jose44@example.net,"59897 Clayton Mountains Apt. 929, New Richardside, PA 41401",845.321.5333x78925
15,Kaylee,Stanley,diane34@example.net,"98297 Allison Terrace, Andrewmouth, MI 97583",715-719-9843
16,Cynthia,Green,jacobjones@example.org,"4690 Sheila Crossroad Suite 555, Jamesview, ME 62414",834.601.5558
17,Ashley,Larsen,zachary76@example.com,"728 Sean Dam, Adamsbury, WY 96524",001-510-320-8459x70449
18,Ricardo,Lopez,daniel36@example.org,"34850 Timothy Ville, South Melinda, CT 83533",001-659-787-7669
19,David,Turner,sharon06@example.net,"960 Wolfe Cape Suite 022, Port Scott, WI 02809",454-939-9156x4771
20,Robert,Rogers,wrose@example.net,"84550 Jones Lane, Bennettland, FL 55406",001-503-849-5858x48441
21,Joseph,Meyer,jamesmiller@example.net,"07557 Jackson Underpass Apt. 026, Port Rebeccamouth, MI 09559",(794)891-5742
22,Heather,Ramsey,whitetimothy@example.com,"0836 James Fall Suite 387, Madisonville, FM 10090",+1-527-517-5928
23,Zachary,Morris,cassandra81@example.net,"077 Eric Pike, New Joel, MD 38461",001-749-909-9818x474
24,Raymond,Thomas,lynchjennifer@example.org,"0712 Hull Fords, Charlotteside, MS 41096",+1-995-324-0354x916
25,Rebecca,Merritt,lisahall@example.com,"283 Ho Points, Normatown, MP 14530",(412)660-8748x6921
26,Michael,Jones,gjohnson@example.net,"162 Bell Fork, North Eric, TX 28460",(296)261-4977
27,Shelby,Villarreal,karen01@example.org,"196 David Skyway Apt. 578, East Kelly, MI 58439",001-203-756-4140x096
28,Michelle,Johnson,andrea29@example.com,"370 Turner Estates, Greenestad, AR 99366",(830)702-1022x3535
29,David,Colon,mcdowelldawn@example.net,"USS Williams, FPO AP 68822",001-232-449-7469x021
30,James,Chambers,wendy90@example.org,"436 Cheryl Hollow, Davidfort, AK 74403",855.512.6337x97201
